rank,name,country,points,lastUpdatedOn,id
1,Azmatullah Omarzai,Afghanistan,334,2026-03-02,13214
2,Sikandar Raza,Zimbabwe,302,2026-03-02,9354
3,Mohammad Nabi,Afghanistan,285,2026-03-02,3007
4,Mehidy Hasan Miraz,Bangladesh,273,2026-03-02,11081
5,Rashid Khan,Afghanistan,257,2026-03-02,10738
6,Michael Bracewell,New Zealand,248,2026-03-02,9551
7,Mitchell Santner,New Zealand,240,2026-03-02,10100
8,Brandon McMullen,Scotland,228,2026-03-02,31911
9,Wanindu Hasaranga,Sri Lanka,219,2026-03-02,10926
10,Gerhard Erasmus,Namibia,204,2026-03-02,7973
11,Axar Patel,India,203,2026-03-02,8808
12,Josh Hazlewood,Australia,197,2026-03-02,6258
13,Charith Asalanka,Sri Lanka,196,2026-03-02,10934
13,Salman Agha,Pakistan,196,2026-03-02,10101
15,Ravindra Jadeja,India,191,2026-03-02,587
