rank,name,country,points,lastUpdatedOn,id
1,Daryl Mitchell,New Zealand,845,2026-03-02,10713
2,Virat Kohli,India,795,2026-03-02,1413
3,Ibrahim Zadran,Afghanistan,764,2026-03-02,12173
4,Rohit Sharma,India,757,2026-03-02,576
5,Shubman Gill,India,723,2026-03-02,11808
6,Babar Azam,Pakistan,722,2026-03-02,8359
7,Harry Tector,Ireland,708,2026-03-02,11130
8,Shai Hope,West Indies,701,2026-03-02,10384
9,Charith Asalanka,Sri Lanka,672,2026-03-02,10934
10,KL Rahul,India,670,2026-03-02,8733
11,Harry Brook,England,660,2026-03-02,12201
12,Shreyas Iyer,India,656,2026-03-02,9428
13,Travis Head,Australia,653,2026-03-02,8497
14,Kusal Mendis,Sri Lanka,647,2026-03-02,9494
15,Quinton de Kock,South Africa,646,2026-03-02,8520
