rank,name,country,points,lastUpdatedOn,id
1,Rashid Khan,Afghanistan,710,2026-03-02,10738
2,Jofra Archer,England,650,2026-03-02,11540
3,Keshav Maharaj,South Africa,646,2026-03-02,9720
4,Bernard Scholtz,Namibia,645,2026-03-02,10769
5,Adil Rashid,England,632,2026-03-02,1742
6,Josh Hazlewood,Australia,628,2026-03-02,6258
6,Maheesh Theekshana,Sri Lanka,628,2026-03-02,18504
8,Kuldeep Yadav,India,625,2026-03-02,8292
9,Abrar Ahmed,Pakistan,624,2026-03-02,12555
10,Mitchell Santner,New Zealand,617,2026-03-02,10100
11,Matt Henry,New Zealand,601,2026-03-02,9067
11,Adam Zampa,Australia,601,2026-03-02,8642
13,Wanindu Hasaranga,Sri Lanka,598,2026-03-02,10926
14,Mohammed Siraj,India,587,2026-03-02,10808
15,Saurabh Netravalkar,United States of America,582,2026-03-02,9748
