rank,name,country,points,lastUpdatedOn,id
1,India,,5377,2026-03-02,2
2,New Zealand,,5370,2026-03-02,13
3,Australia,,4134,2026-03-02,4
4,Pakistan,,4294,2026-03-02,3
5,South Africa,,4022,2026-03-02,11
6,Sri Lanka,,4600,2026-03-02,5
7,Afghanistan,,2657,2026-03-02,96
8,England,,3782,2026-03-02,9
9,West Indies,,3173,2026-03-02,10
10,Bangladesh,,2882,2026-03-02,6
11,Zimbabwe,,1291,2026-03-02,12
12,Ireland,,938,2026-03-02,27
13,Scotland,,1522,2026-03-02,23
14,United States of America,,1668,2026-03-02,15
15,Netherlands,,1425,2026-03-02,24
16,Oman,,886,2026-03-02,304
17,Nepal,,959,2026-03-02,72
18,Namibia,,707,2026-03-02,161
19,Canada,,357,2026-03-02,26
20,United Arab Emirates,,396,2026-03-02,7
