rank,name,country,points,lastUpdatedOn,id
1,Sikandar Raza,Zimbabwe,294,2026-03-02,9354
2,Saim Ayub,Pakistan,281,2026-03-02,14241
3,Hardik Pandya,India,272,2026-03-02,9647
4,Dipendra Singh Airee,Nepal,244,2026-03-02,11155
5,Azmatullah Omarzai,Afghanistan,241,2026-03-02,13214
6,Roston Chase,West Indies,233,2026-03-02,11543
7,Shivam Dube,India,216,2026-03-02,11195
8,Mohammad Nabi,Afghanistan,209,2026-03-02,3007
9,Mohammad Nawaz,Pakistan,208,2026-03-02,8367
10,Romario Shepherd,West Indies,195,2026-03-02,13646
11,Rashid Khan,Afghanistan,183,2026-03-02,10738
12,Gerhard Erasmus,Namibia,180,2026-03-02,7973
13,Marcus Stoinis,Australia,175,2026-03-02,8989
15,Mitchell Santner,New Zealand,168,2026-03-02,10100
