rank,name,country,points,lastUpdatedOn,id
1,Abhishek Sharma,India,877,2026-03-02,12086
2,Philip Salt,England,815,2026-03-02,10479
3,Sahibzada Farhan,Pakistan,810,2026-03-02,13625
4,Pathum Nissanka,Sri Lanka,789,2026-03-02,13682
5,Ishan Kishan,India,742,2026-03-02,10276
6,Suryakumar Yadav,India,740,2026-03-02,7915
7,Tilak Varma,India,730,2026-03-02,14504
8,Jos Buttler,England,725,2026-03-02,2258
9,Dewald Brevis,South Africa,724,2026-03-02,20538
10,Tim Seifert,New Zealand,715,2026-03-02,9443
11,Travis Head,Australia,700,2026-03-02,8497
12,Mitchell Marsh,Australia,689,2026-03-02,6250
13,Ibrahim Zadran,Afghanistan,678,2026-03-02,12173
14,Shai Hope,West Indies,666,2026-03-02,10384
15,Ryan Rickelton,South Africa,665,2026-03-02,13070
