rank,name,country,points,lastUpdatedOn,id
1,Varun Chakaravarthy,India,790,2026-03-02,12926
2,Rashid Khan,Afghanistan,753,2026-03-02,10738
3,Corbin Bosch,South Africa,731,2026-03-02,9576
4,Adil Rashid,England,716,2026-03-02,1742
5,Abrar Ahmed,Pakistan,712,2026-03-02,12555
6,Adam Zampa,Australia,682,2026-03-02,8642
7,Matthew Forde,West Indies,679,2026-03-02,15809
8,Jasprit Bumrah,India,669,2026-03-02,9311
9,Mustafizur Rahman,Bangladesh,665,2026-03-02,9863
10,Wanindu Hasaranga,Sri Lanka,664,2026-03-02,10926
10,Brad Evans,Zimbabwe,664,2026-03-02,19592
12,Mohammad Nawaz,Pakistan,663,2026-03-02,8367
12,Mujeeb Ur Rahman,Afghanistan,663,2026-03-02,12071
12,Jacob Duffy,New Zealand,663,2026-03-02,8554
15,Nathan Ellis,Australia,661,2026-03-02,15480
