rank,name,country,points,lastUpdatedOn,id
1,India,,22327,2026-03-02,2
2,England,,13999,2026-03-02,9
3,Australia,,12645,2026-03-02,4
4,New Zealand,,15793,2026-03-02,13
5,South Africa,,15177,2026-03-02,11
6,Pakistan,,19725,2026-03-02,3
7,West Indies,,17202,2026-03-02,10
8,Sri Lanka,,13405,2026-03-02,5
9,Bangladesh,,14925,2026-03-02,6
10,Afghanistan,,11504,2026-03-02,96
11,Zimbabwe,,14347,2026-03-02,12
12,Ireland,,9001,2026-03-02,27
13,Netherlands,,7064,2026-03-02,24
14,Scotland,,4836,2026-03-02,23
15,Namibia,,6940,2026-03-02,161
16,United States of America,,6562,2026-03-02,15
17,United Arab Emirates,,11584,2026-03-02,7
18,Nepal,,8031,2026-03-02,72
19,Canada,,5928,2026-03-02,26
20,Oman,,7707,2026-03-02,304
21,Uganda,,7952,2026-03-02,44
22,Papua New Guinea,,2718,2026-03-02,287
23,"Hong Kong, China",,6960,2026-03-02,8
24,Kuwait,,5596,2026-03-02,298
25,Malaysia,,7386,2026-03-02,71
26,Italy,,2680,2026-03-02,527
27,Qatar,,5407,2026-03-02,525
28,Jersey,,2819,2026-03-02,303
29,Bahrain,,9304,2026-03-02,543
30,Spain,,2478,2026-03-02,523
31,Bermuda,,3040,2026-03-02,25
32,Saudi Arabia,,4245,2026-03-02,571
33,Kenya,,5074,2026-03-02,14
34,Tanzania,,4082,2026-03-02,535
35,Germany,,1924,2026-03-02,77
36,Nigeria,,4166,2026-03-02,536
37,Guernsey,,2071,2026-03-02,533
38,Singapore,,3075,2026-03-02,190
39,Cayman Islands,,1921,2026-03-02,1020
40,Austria,,4054,2026-03-02,532
41,Denmark,,1262,2026-03-02,185
42,Norway,,2095,2026-03-02,1027
43,Japan,,2846,2026-03-02,547
44,Portugal,,1333,2026-03-02,596
45,Belgium,,2059,2026-03-02,541
46,Argentina,,745,2026-03-02,549
47,Switzerland,,1086,2026-03-02,1062
48,Finland,,1130,2026-03-02,556
49,Sweden,,1048,2026-03-02,534
50,Malawi,,2019,2026-03-02,553
51,Botswana,,1547,2026-03-02,529
52,Isle of Man,,604,2026-03-02,557
53,France,,1109,2026-03-02,539
54,Romania,,1544,2026-03-02,1041
55,Philippines,,1158,2026-03-02,538
56,Bahamas,,972,2026-03-02,1018
57,Thailand,,1842,2026-03-02,384
58,Czech Republic,,911,2026-03-02,561
59,Cook Islands,,552,2026-03-02,1132
60,Cambodia,,1246,2026-03-02,1447
61,Rwanda,,2874,2026-03-02,569
62,Indonesia,,3044,2026-03-02,566
63,Fiji,,387,2026-03-02,343
64,Vanuatu,,561,2026-03-02,300
65,Cyprus,,789,2026-03-02,1111
66,Ghana,,570,2026-03-02,531
67,Hungary,,971,2026-03-02,550
68,Samoa,,672,2026-03-02,545
69,Zambia,,290,2026-03-02,2001
70,Estonia,,665,2026-03-02,526
71,Malta,,1085,2026-03-02,522
72,Mozambique,,518,2026-03-02,551
73,Eswatini,,491,2026-03-02,1284
74,Israel,,178,2026-03-02,554
75,Panama,,318,2026-03-02,546
76,Belize,,164,2026-03-02,540
77,Gibraltar,,494,2026-03-02,564
78,Bhutan,,636,2026-03-02,555
79,Luxembourg,,432,2026-03-02,537
80,Sierra Leone,,477,2026-03-02,559
81,Costa Rica,,218,2026-03-02,548
82,Mexico,,287,2026-03-02,544
83,Suriname,,119,2026-03-02,2285
84,Serbia,,315,2026-03-02,1067
85,Maldives,,214,2026-03-02,563
86,Cameroon,,86,2026-03-02,1179
87,Brazil,,90,2026-03-02,560
88,Bulgaria,,191,2026-03-02,558
89,South Korea,,94,2026-03-02,299
90,St Helena,,44,2026-03-02,1272
91,China,,29,2026-03-02,524
92,Lesotho,,24,2026-03-02,570
93,Turkey,,26,2026-03-02,897
94,Gambia,,6,2026-03-02,567
95,Mongolia,,0,2026-03-02,1804
95,Croatia,,0,2026-03-02,1076
95,Greece,,0,2026-03-02,1081
95,Mali,,0,2026-03-02,1265
95,Myanmar,,0,2026-03-02,565
95,Seychelles,,0,2026-03-02,1277
95,Slovenia,,0,2026-03-02,1069
95,Timor Leste,,0,2026-03-02,2850
